task_id,task_type,priority,offset_ms,submit_ms,start_ms,end_ms,latency_ms,status,worker,exec_ms
mixed-42-00190,MONTE_CARLO_TASK,8,50532,50539,50568,50679,140,COMPLETED,worker-1,112
mixed-42-00191,FILE_IO_TASK,10,50548,50558,50681,50681,123,COMPLETED,worker-1,45
mixed-42-00192,HASH_TASK,6,50633,50637,50682,50682,45,COMPLETED,worker-1,35
mixed-42-00193,COMPRESS_TASK,9,50642,50646,50686,50795,149,COMPLETED,worker-1,53
mixed-42-00194,HASH_TASK,6,50645,50650,50687,50687,37,COMPLETED,worker-1,5
mixed-42-00195,HASH_TASK,9,50721,50732,50798,50798,66,COMPLETED,worker-1,33
mixed-42-00196,HTTP_TASK,9,50955,50968,51024,51127,159,COMPLETED,worker-1,57
mixed-42-00197,SORT_TASK,7,51068,51072,51129,51129,57,COMPLETED,worker-1,0
mixed-42-00198,COMPRESS_TASK,3,51125,51135,51241,51241,106,COMPLETED,worker-1,54
mixed-42-00199,COMPRESS_TASK,10,51147,51151,51242,51464,313,COMPLETED,worker-1,255
mixed-42-00200,CPU_TASK,8,51172,51175,51244,51244,69,COMPLETED,worker-1,6
mixed-42-00201,SLEEP_TASK,5,51309,51313,51350,52064,751,COMPLETED,worker-1,673
mixed-42-00202,GRAPH_TASK,5,51309,51316,51351,51351,35,COMPLETED,worker-1,18
mixed-42-00203,CPU_TASK,8,51472,51491,51594,51594,103,COMPLETED,worker-1,15
mixed-42-00204,HASH_TASK,7,51475,51498,51599,51599,101,COMPLETED,worker-1,13
mixed-42-00205,HTTP_TASK,8,51495,51502,51602,51602,100,COMPLETED,worker-1,83
mixed-42-00206,MATRIX_TASK,3,51498,51504,51604,51604,100,COMPLETED,worker-1,7
mixed-42-00207,HASH_TASK,8,51523,51529,51607,51607,78,COMPLETED,worker-1,11
mixed-42-00208,GRAPH_TASK,8,51701,51725,51833,51833,108,COMPLETED,worker-1,67
mixed-42-00209,HASH_TASK,10,51755,51771,51835,51835,64,COMPLETED,worker-1,7
mixed-42-00210,FILE_IO_TASK,8,51783,51787,51837,51837,50,COMPLETED,worker-1,34
